date,open,high,low,adjClose,value,volume,count,yesterday,close
2019-08-10,1550.0,3101.0,1550.0,1585.0,4944571550,3120001,73,21.0,3101.0
2019-09-02,1632.0,1680.0,1632.0,1644.0,23011200000,14000000,289,1585.0,1680.0
2019-09-04,1693.0,1693.0,1693.0,1693.0,45918966427,27122839,900,1644.0,1693.0
2019-09-28,2537.0,2596.0,2461.0,2482.0,48233804236,19435460,926,1693.0,2474.0
2019-09-29,2443.0,2530.0,2408.0,2414.0,13302962427,5510973,449,2482.0,2408.0
2019-09-30,2433.0,2466.0,2342.0,2355.0,18070192493,7672467,558,2414.0,2342.0
2019-10-01,2299.0,2390.0,2285.0,2304.0,11426045005,4959029,386,2355.0,2285.0
2019-10-02,2260.0,2373.0,2260.0,2363.0,7074298165,2994224,207,2304.0,2373.0
2019-10-05,2430.0,2433.0,2293.0,2357.0,10172463390,4315134,291,2363.0,2293.0
2019-10-06,2287.0,2287.0,2287.0,2287.0,1691396590,739570,72,2357.0,2287.0
2019-10-07,2261.0,2320.0,2219.0,2226.0,3487354727,1566873,123,2287.0,2219.0
2019-10-08,2289.0,2292.0,2175.0,2276.0,8733000376,3836840,201,2226.0,2200.0
2019-10-09,2290.0,2340.0,2240.0,2287.0,1364733647,596828,86,2276.0,2323.0
2019-10-12,2353.0,2355.0,2283.0,2353.0,1680062387,713957,63,2287.0,2349.0
2019-10-13,2390.0,2423.0,2349.0,2401.0,3595615712,1497467,166,2353.0,2360.0
2019-10-14,2350.0,2400.0,2329.0,2338.0,665630088,284649,42,2401.0,2329.0
2019-10-15,2397.0,2397.0,2268.0,2301.0,110438752,47996,8,2338.0,2268.0
2019-10-16,2232.0,2232.0,2232.0,2232.0,53045712,23766,13,2301.0,2232.0
2019-10-20,2166.0,2166.0,2166.0,2166.0,4023041760,1857360,57,2232.0,2166.0
2019-10-22,2102.0,2102.0,2039.0,2047.0,910133962,444601,27,2166.0,2090.0
2019-10-23,2020.0,2020.0,1986.0,1990.0,302441070,151990,23,2047.0,1986.0
2019-10-30,2200.0,2250.0,2134.0,2158.0,1726599454,799955,156,1990.0,2187.0
2019-11-02,2217.0,2217.0,2094.0,2100.0,4059021522,1932744,103,2158.0,2094.0
2019-11-03,2039.0,2098.0,2037.0,2037.0,2109617935,1035440,82,2100.0,2037.0
2019-11-04,1977.0,2000.0,1976.0,1977.0,3696356008,1870043,158,2037.0,1976.0
2019-11-05,2000.0,2054.0,1892.0,1986.0,605365578,304745,52,1977.0,2054.0
2019-11-09,2045.0,2045.0,1927.0,1972.0,1094636365,554963,75,1986.0,1927.0
2019-11-13,2020.0,2020.0,1960.0,2000.0,283349320,141646,23,1972.0,1960.0
2019-11-16,1940.0,1940.0,1940.0,1940.0,728033500,375275,32,2000.0,1940.0
2019-11-17,1882.0,1882.0,1882.0,1882.0,21746510,11555,4,1940.0,1882.0
