date,open,high,low,adjClose,value,volume,count,yesterday,close
2017-11-29,3050.0,3050.0,3050.0,3050.0,610000000,200000,14,1000.0,3050.0
2017-12-02,3050.0,3050.0,3050.0,3050.0,771650,253,1,3050.0,3050.0
2017-12-04,3051.0,3051.0,3051.0,3051.0,15255000,5000,1,3050.0,3051.0
2017-12-09,3051.0,3051.0,3050.0,3051.0,79321000,26000,7,3051.0,3050.0
2017-12-11,3051.0,3051.0,3051.0,3051.0,38381580,12580,4,3051.0,3051.0
2017-12-16,2799.0,2799.0,2799.0,2799.0,55980000,20000,2,3051.0,2799.0
2017-12-20,2001.0,2001.0,2001.0,2001.0,55027500,27500,1,2799.0,2001.0
2018-01-01,2001.0,2195.0,2001.0,2039.0,209742880,102880,18,2001.0,2195.0
2018-01-03,2195.0,2195.0,2195.0,2195.0,43900000,20000,4,2039.0,2195.0
2018-01-06,2195.0,2195.0,2195.0,2195.0,31693605,14439,4,2195.0,2195.0
2018-01-08,2195.0,2250.0,2195.0,2221.0,115262500,51900,4,2195.0,2250.0
2018-01-10,2221.0,2221.0,2221.0,2221.0,130150600,58600,13,2221.0,2221.0
2018-01-13,2221.0,2221.0,2221.0,2221.0,21099500,9500,3,2221.0,2221.0
2018-01-17,2221.0,2221.0,2221.0,2221.0,59267385,26685,6,2221.0,2221.0
2018-01-20,2221.0,2221.0,2221.0,2221.0,20688615,9315,4,2221.0,2221.0
2018-01-22,2221.0,2221.0,2221.0,2221.0,30689778,13818,6,2221.0,2221.0
2018-01-31,2221.0,2221.0,2221.0,2221.0,11105000,5000,1,2221.0,2221.0
2018-02-05,2222.0,2222.0,2222.0,2222.0,1111000,500,1,2221.0,2222.0
2018-02-07,2222.0,2222.0,2222.0,2222.0,2222000,1000,2,2222.0,2222.0
2018-02-12,2222.0,2222.0,2222.0,2222.0,2222000,1000,1,2222.0,2222.0
2018-02-24,2219.0,2219.0,2219.0,2219.0,6887776,3104,2,2222.0,2219.0
2018-02-26,2219.0,2219.0,2219.0,2219.0,4999407,2253,5,2219.0,2219.0
2018-03-05,2219.0,2219.0,2219.0,2219.0,2219000,1000,1,2219.0,2219.0
2018-03-07,2219.0,2219.0,2219.0,2219.0,3328500,1500,1,2219.0,2219.0
2018-03-14,2219.0,2219.0,2219.0,2219.0,94800118,42722,10,2219.0,2219.0
2018-03-26,2219.0,2219.0,2219.0,2219.0,66570000,30000,6,2219.0,2219.0
2018-03-28,2219.0,2219.0,2219.0,2219.0,55475000,25000,6,2219.0,2219.0
2018-04-04,2219.0,2219.0,2219.0,2219.0,33285000,15000,5,2219.0,2219.0
2018-04-11,2219.0,2219.0,2219.0,2219.0,4331488,1952,2,2219.0,2219.0
2018-04-23,2219.0,2219.0,2219.0,2219.0,2367673,1067,4,2219.0,2219.0
2018-04-28,2219.0,2219.0,2219.0,2219.0,33282781,14999,6,2219.0,2219.0
2018-06-11,2061.0,2267.0,2061.0,2069.0,38433892,18600,7,2069.0,2267.0
2018-06-13,2700.0,2700.0,2700.0,2290.0,151100100,55963,21,2069.0,2700.0
2018-06-20,2700.0,2700.0,2700.0,2313.0,24300000,9000,1,2290.0,2700.0
2018-06-23,2313.0,2313.0,2313.0,2313.0,1047789,453,1,2313.0,2313.0
2018-06-30,2313.0,2313.0,2313.0,2313.0,23130000,10000,3,2313.0,2313.0
2018-07-07,2313.0,2313.0,2313.0,2313.0,1646856,712,1,2313.0,2313.0
