date,open,high,low,adjClose,value,volume,count,yesterday,close
2021-09-18,10000.0,10000.0,10000.0,10000.0,566766360000,56676636,3594,10000.0,10000.0
2021-09-19,10000.0,10000.0,10000.0,10000.0,423233640000,42323364,5728,10000.0,10000.0
2021-10-13,9500.0,9887.0,9250.0,9608.0,26310701042,2738540,772,10000.0,9714.0
2021-10-16,9700.0,9929.0,9672.0,9816.0,32227546353,3283106,914,9608.0,9886.0
2021-10-17,9860.0,9956.0,9781.0,9824.0,27384077088,2787491,716,9816.0,9800.0
2021-10-18,9800.0,9898.0,9720.0,9814.0,31190580156,3178153,538,9824.0,9855.0
2021-10-19,9850.0,9870.0,9820.0,9848.0,9586395850,973436,292,9814.0,9831.0
2021-10-20,9840.0,9850.0,9790.0,9818.0,9633952688,981256,280,9848.0,9800.0
2021-10-23,9821.0,9840.0,9000.0,9789.0,23596008634,2410372,303,9818.0,9770.0
2021-10-25,9730.0,9730.0,9600.0,9637.0,14442527950,1498656,360,9789.0,9620.0
2021-10-26,9630.0,9700.0,9610.0,9653.0,7476411369,774496,222,9637.0,9659.0
2021-10-27,9670.0,9700.0,9660.0,9678.0,4568266098,472047,199,9653.0,9700.0
2021-10-30,9690.0,9700.0,9590.0,9631.0,12230960620,1269987,439,9678.0,9609.0
2021-10-31,9680.0,9680.0,9450.0,9549.0,10402019270,1089363,210,9631.0,9500.0
2021-11-01,9521.0,9700.0,9520.0,9589.0,8095378307,844263,190,9549.0,9640.0
2021-11-02,9680.0,9680.0,9570.0,9610.0,5844709502,608166,149,9589.0,9610.0
2021-11-03,9640.0,9770.0,9630.0,9697.0,6241456420,643647,172,9610.0,9719.0
2021-11-06,9750.0,9975.0,9730.0,9892.0,7961549967,804859,268,9697.0,9975.0
2021-11-07,9990.0,9990.0,9670.0,9779.0,4902933580,501397,153,9892.0,9710.0
2021-11-08,9670.0,9800.0,9670.0,9728.0,8847871504,909521,190,9779.0,9750.0
2021-11-09,9760.0,9899.0,9740.0,9810.0,6778473595,690949,147,9728.0,9820.0
2021-11-10,9850.0,9903.0,9800.0,9842.0,7564666574,768613,138,9810.0,9880.0
2021-11-13,9900.0,9900.0,9750.0,9836.0,7689439898,781735,149,9842.0,9859.0
2021-11-14,9956.0,9956.0,9850.0,9900.0,2616757808,264329,103,9836.0,9870.0
2021-11-15,9880.0,9900.0,9200.0,9788.0,4026109690,411334,120,9900.0,9840.0
2021-11-16,9770.0,9844.0,9770.0,9813.0,1529219010,155840,71,9788.0,9810.0
2021-11-17,9805.0,9890.0,9805.0,9855.0,1481137518,150294,76,9813.0,9879.0
2021-11-20,9850.0,9900.0,9720.0,9797.0,2251495914,229821,81,9855.0,9800.0
2021-11-21,9720.0,9819.0,9690.0,9758.0,5492307071,562867,114,9797.0,9780.0
2021-11-22,9800.0,9897.0,9755.0,9810.0,25302536456,2579237,179,9758.0,9830.0
2021-11-23,9830.0,9900.0,9800.0,9840.0,3518780911,357591,191,9810.0,9870.0
2021-11-24,9840.0,9850.0,9790.0,9817.0,3229727736,328996,134,9840.0,9840.0
2021-11-27,9830.0,9830.0,9640.0,9748.0,2511490821,257637,76,9817.0,9650.0
2021-11-28,9610.0,9690.0,9600.0,9639.0,2990774851,310266,68,9748.0,9670.0
2021-11-29,9641.0,9671.0,9631.0,9657.0,3167036651,327969,56,9639.0,9670.0
2021-11-30,9610.0,9709.0,9600.0,9633.0,1405488409,145911,65,9657.0,9620.0
2021-12-01,9640.0,9640.0,9500.0,9543.0,1062390890,111328,48,9633.0,9520.0
2021-12-04,9512.0,9550.0,9402.0,9493.0,10696175617,1126755,118,9543.0,9510.0
2021-12-05,9507.0,9599.0,9507.0,9544.0,1363350382,142847,54,9493.0,9598.0
2021-12-06,9556.0,9605.0,9510.0,9536.0,2512276118,263456,67,9544.0,9510.0
2021-12-07,9520.0,9560.0,9500.0,9529.0,1711160274,179576,70,9536.0,9540.0
2021-12-08,9560.0,9690.0,9560.0,9622.0,3020289525,313896,92,9529.0,9640.0
2021-12-11,9667.0,9700.0,9550.0,9629.0,1940480507,201533,58,9622.0,9630.0
2021-12-12,9558.0,9559.0,9420.0,9482.0,2054597292,216683,54,9629.0,9420.0
2021-12-13,9500.0,9530.0,9300.0,9445.0,1345421082,142452,46,9482.0,9300.0
2021-12-14,9330.0,9850.0,9250.0,9315.0,12602032264,1352907,101,9445.0,9331.0
2021-12-15,9341.0,9440.0,9291.0,9326.0,2212373163,237239,55,9315.0,9305.0
2021-12-18,9320.0,9470.0,9320.0,9390.0,1469416680,156485,51,9326.0,9400.0
2021-12-19,9388.0,9400.0,9250.0,9324.0,1015894620,108954,40,9390.0,9280.0
2021-12-20,9281.0,9370.0,9281.0,9345.0,671309799,71837,39,9324.0,9360.0
2021-12-21,9312.0,9600.0,9312.0,9470.0,809832887,85514,39,9345.0,9540.0
2021-12-22,9500.0,9780.0,9500.0,9663.0,2150312803,222538,65,9470.0,9730.0
2021-12-25,9691.0,9870.0,9691.0,9768.0,3006072605,307757,77,9663.0,9710.0
2021-12-26,9710.0,9800.0,9660.0,9744.0,2743994506,281607,55,9768.0,9800.0
2021-12-27,9786.0,9890.0,9786.0,9818.0,2101606959,214067,53,9744.0,9819.0
2021-12-28,9813.0,9869.0,9780.0,9841.0,2943601621,299131,66,9818.0,9860.0
2021-12-29,9855.0,9856.0,9681.0,9777.0,2906630700,297307,59,9841.0,9799.0
2022-01-01,9750.0,9750.0,9620.0,9676.0,784919981,81124,31,9777.0,9690.0
2022-01-02,9700.0,9700.0,9630.0,9663.0,788246123,81573,37,9676.0,9680.0
2022-01-03,9700.0,9700.0,9630.0,9647.0,924315374,95816,18,9663.0,9635.0
2022-01-04,9640.0,9640.0,9551.0,9597.0,918269932,95680,41,9647.0,9552.0
2022-01-05,9580.0,9640.0,9200.0,9485.0,7562027559,797281,47,9597.0,9580.0
2022-01-08,9570.0,9620.0,9531.0,9603.0,1444160405,150385,48,9485.0,9565.0
2022-01-09,9490.0,9490.0,9330.0,9399.0,219473880,23351,13,9603.0,9468.0
2022-01-10,9350.0,9373.0,9250.0,9323.0,1849873989,198414,24,9399.0,9373.0
2022-01-11,9370.0,9480.0,9300.0,9392.0,1539804780,163948,26,9323.0,9340.0
2022-01-12,9340.0,9400.0,9340.0,9386.0,231477619,24662,24,9392.0,9399.0
2022-01-15,9390.0,9390.0,9300.0,9330.0,2063729800,221186,32,9386.0,9300.0
2022-01-16,9260.0,9340.0,9200.0,9274.0,669199356,72161,23,9330.0,9340.0
2022-01-17,9370.0,9400.0,9310.0,9360.0,694653011,74219,23,9274.0,9368.0
2022-01-18,9261.0,9261.0,9150.0,9204.0,553189206,60101,32,9360.0,9156.0
2022-01-19,9156.0,9300.0,9140.0,9200.0,2125981004,231082,41,9204.0,9289.0
2022-01-22,9200.0,9300.0,9150.0,9201.0,1128287540,122632,55,9200.0,9200.0
2022-01-23,9180.0,9180.0,9040.0,9140.0,1231142210,134704,38,9201.0,9050.0
2022-01-24,9110.0,9150.0,8900.0,8980.0,2723543910,303295,50,9140.0,8950.0
2022-01-25,8940.0,8950.0,8770.0,8854.0,1506875250,170186,48,8980.0,8850.0
2022-01-26,8850.0,9190.0,8841.0,8977.0,2105718617,234562,75,8854.0,9050.0
2022-01-29,9040.0,9310.0,9040.0,9213.0,1416198201,153721,44,8977.0,9299.0
2022-01-30,9250.0,9300.0,9150.0,9239.0,2056235100,222550,58,9213.0,9230.0
2022-01-31,9250.0,9320.0,9230.0,9297.0,2908598342,312855,43,9239.0,9320.0
2022-02-01,9310.0,9339.0,9230.0,9286.0,2313662004,249144,44,9297.0,9300.0
2022-02-02,9300.0,9350.0,9290.0,9302.0,549354000,59060,31,9286.0,9300.0
2022-02-05,9340.0,9340.0,9250.0,9313.0,1790673028,192268,51,9302.0,9320.0
