date,open,high,low,adjClose,value,volume,count,yesterday,close
2023-01-31,20000.0,11500.0,8500.0,9419.0,1780121864000,189000000,144,643.0,8500.0
2023-02-01,9880.0,9880.0,9880.0,9880.0,49400000000,5000000,1018,9419.0,9880.0
2023-02-05,10370.0,10370.0,10370.0,10370.0,130033318750,12539375,2503,9880.0,10370.0
2023-02-06,10880.0,10880.0,10800.0,10880.0,1068196684310,98192728,21787,10370.0,10880.0
2023-02-07,11000.0,11170.0,10340.0,10550.0,467955378050,44357187,11115,10880.0,10340.0
2023-02-08,10300.0,10490.0,10030.0,10180.0,479216049570,47053124,13004,10550.0,10310.0
2023-02-12,10450.0,10530.0,10140.0,10300.0,173082490460,16796689,5366,10180.0,10180.0
2023-02-13,10100.0,10270.0,9950.0,10050.0,202652619840,20165551,6211,10300.0,10000.0
2023-02-14,10090.0,10090.0,9600.0,9720.0,93881625190,9653670,3077,10050.0,9640.0
2023-02-15,9500.0,9600.0,9310.0,9410.0,68514565510,7279367,2321,9720.0,9370.0
2023-02-19,9240.0,9800.0,9240.0,9430.0,53155653570,5634454,1834,9410.0,9350.0
2023-02-20,9430.0,9900.0,9430.0,9840.0,113677810340,11549936,3029,9430.0,9900.0
2023-02-21,10000.0,10020.0,9430.0,9750.0,116678921400,11973015,3411,9840.0,9670.0
2023-02-22,9740.0,9740.0,9300.0,9520.0,48195201860,5061012,1810,9750.0,9530.0
2023-02-25,9610.0,9990.0,9610.0,9940.0,121443013490,12222699,3239,9520.0,9990.0
2023-02-26,10300.0,10300.0,9580.0,9870.0,101243536360,10257694,3118,9940.0,9780.0
2023-02-27,9700.0,9830.0,9470.0,9620.0,62549502910,6500595,1218,9870.0,9630.0
2023-02-28,9700.0,10100.0,9540.0,10060.0,278733124850,27709785,2085,9620.0,10090.0
2023-03-01,10090.0,10140.0,9680.0,9980.0,82135154690,8230466,1346,10060.0,9710.0
2023-03-04,9720.0,9930.0,9580.0,9710.0,28293056880,2912528,634,9980.0,9730.0
2023-03-05,9570.0,9920.0,9570.0,9730.0,35841726270,3685280,660,9710.0,9700.0
2023-03-06,9850.0,10210.0,9820.0,10110.0,178118425960,17625775,1737,9730.0,10210.0
2023-03-07,10150.0,10610.0,10150.0,10590.0,329402255250,31113988,2219,10110.0,10600.0
2023-03-11,10520.0,10690.0,10360.0,10520.0,192037066510,18254341,1975,10590.0,10420.0
2023-03-12,10180.0,10290.0,10000.0,10030.0,140392915710,13998395,1341,10520.0,10010.0
2023-03-13,9850.0,10430.0,9850.0,10140.0,60155313920,5930894,963,10030.0,10300.0
2023-03-14,10210.0,10440.0,10120.0,10250.0,43975513160,4290761,1010,10140.0,10350.0
2023-03-15,10430.0,10760.0,10200.0,10600.0,95569346530,9019429,1127,10250.0,10730.0
2023-03-18,10790.0,10980.0,10580.0,10730.0,146303700840,13629421,2268,10600.0,10600.0
2023-03-19,10720.0,10720.0,10300.0,10440.0,122846441950,11768266,1761,10730.0,10400.0
2023-03-25,10550.0,10650.0,10230.0,10460.0,81087830950,7749027,1120,10440.0,10520.0
2023-03-26,10550.0,10550.0,9940.0,10270.0,23954780480,2332645,475,10460.0,10400.0
2023-03-27,10060.0,10440.0,10060.0,10340.0,61272125980,5928119,979,10270.0,10340.0
2023-03-28,10440.0,10700.0,10300.0,10410.0,78278651110,7520498,1236,10340.0,10360.0
2023-03-29,10490.0,10930.0,10450.0,10870.0,303317985550,27906124,1704,10410.0,10930.0
2023-04-03,11100.0,11410.0,10620.0,11340.0,209310076930,18456994,1107,10870.0,11410.0
2023-04-04,11490.0,11890.0,10840.0,11330.0,160868799890,14198437,2226,11340.0,11000.0
2023-04-05,10900.0,11890.0,10900.0,11650.0,130420054460,11192286,1547,11330.0,11890.0
2023-04-08,12060.0,12230.0,11800.0,12160.0,133273125600,10958773,1309,11650.0,11950.0
2023-04-09,11960.0,12660.0,11620.0,12010.0,100644346580,8382198,1908,12160.0,11920.0
2023-04-10,12020.0,12550.0,11410.0,12040.0,174233860050,14472756,3364,12010.0,11740.0
2023-04-11,11600.0,12340.0,11600.0,12110.0,88140274740,7280331,1174,12040.0,12160.0
2023-04-15,12440.0,12710.0,12350.0,12640.0,76148730370,6023996,567,12110.0,12710.0
2023-04-16,12890.0,13090.0,12500.0,12740.0,120019634610,9423712,1426,12640.0,12640.0
2023-04-17,13370.0,13370.0,12750.0,13340.0,227555809250,17061340,1561,12740.0,13350.0
2023-04-18,14000.0,14000.0,13220.0,13750.0,148807548140,10823752,1501,13340.0,13590.0
2023-04-19,13780.0,14240.0,13200.0,13850.0,158015980530,11408206,1276,13750.0,14100.0
2023-04-24,14210.0,14540.0,14210.0,14530.0,218857945030,15061779,1199,13850.0,14540.0
2023-04-25,15250.0,15250.0,14700.0,15170.0,223027840980,14697559,1356,14530.0,14950.0
2023-04-26,14600.0,14930.0,14420.0,14490.0,197919994420,13660664,1969,15170.0,14420.0
2023-04-29,14450.0,15000.0,13950.0,14530.0,147172632800,10130082,1195,14490.0,14640.0
2023-04-30,14800.0,15250.0,14610.0,15090.0,173758820200,11512372,1736,14530.0,15110.0
2023-05-01,15780.0,15780.0,14400.0,15070.0,321454967530,21327642,2613,15090.0,15200.0
2023-05-02,15090.0,15820.0,15090.0,15700.0,462422431960,29462783,2090,15070.0,15750.0
2023-05-03,16080.0,16480.0,16080.0,16460.0,465232280700,28261780,1600,15700.0,16460.0
2023-05-06,17140.0,17140.0,15640.0,15970.0,376596453310,23577698,4160,16460.0,15640.0
2023-05-07,15210.0,15490.0,15180.0,15190.0,55369883230,3645649,479,15970.0,15180.0
2023-05-08,14440.0,14440.0,14440.0,14440.0,18887057920,1307968,63,15190.0,14440.0
2023-05-09,13720.0,13720.0,13720.0,13720.0,187972972880,13700654,1309,14440.0,13720.0
2023-05-10,13900.0,13900.0,13040.0,13420.0,299534958020,22321424,1559,13720.0,13040.0
2023-05-13,12790.0,13200.0,12750.0,12770.0,121284902210,9499649,1292,13420.0,12800.0
2023-05-14,12830.0,13400.0,12830.0,13290.0,112042617190,8430729,882,12770.0,13400.0
2023-05-15,13390.0,13950.0,13000.0,13760.0,128588514930,9345383,883,13290.0,13950.0
