date,open,high,low,adjClose,value,volume,count,yesterday,close
2013-11-30,1050.0,1050.0,1005.0,1021.0,3063000,3000,3,1000.0,1005.0
2013-12-22,1000.0,1000.0,1000.0,1000.0,1000000000,1000000,1,1021.0,1000.0
2013-12-24,1005.0,1008.0,1005.0,1007.0,32710941948,32497715,2,1000.0,1008.0
2016-08-03,487.0,487.0,487.0,487.0,487000,1000,1,487.0,487.0
2016-08-07,487.0,487.0,487.0,487.0,487000,1000,1,487.0,487.0
2016-08-15,487.0,487.0,487.0,487.0,487000,1000,1,487.0,487.0
2016-09-11,490.0,490.0,490.0,490.0,3904320,7968,1,487.0,490.0
2017-01-14,500.0,500.0,500.0,500.0,14925500,29851,2,490.0,500.0
2017-02-20,500.0,500.0,500.0,500.0,250000,500,12,500.0,500.0
2017-04-09,550.0,550.0,550.0,550.0,4101900,7458,1,500.0,550.0
2017-04-12,605.0,605.0,605.0,605.0,4512090,7458,1,550.0,605.0
2017-04-26,665.0,665.0,665.0,665.0,19285000,29000,1,605.0,665.0
2017-07-02,731.0,731.0,731.0,731.0,7310000,10000,1,665.0,731.0
2017-10-22,804.0,804.0,804.0,804.0,8040000,10000,1,731.0,804.0
2017-11-01,884.0,884.0,884.0,884.0,9591400,10850,2,804.0,884.0
2017-12-12,972.0,972.0,972.0,972.0,9720000,10000,1,884.0,972.0
2017-12-16,1069.0,1069.0,1069.0,1069.0,32070000,30000,2,972.0,1069.0
2017-12-23,1175.0,1175.0,1175.0,1175.0,117500000,100000,3,1069.0,1175.0
2017-12-24,1292.0,1292.0,1292.0,1292.0,303620000,235000,10,1175.0,1292.0
2017-12-25,1421.0,1421.0,1421.0,1421.0,426300000,300000,7,1292.0,1421.0
2017-12-26,1563.0,1563.0,1563.0,1563.0,593940000,380000,11,1421.0,1563.0
2017-12-30,1719.0,1719.0,1719.0,1719.0,35583300,20700,5,1563.0,1719.0
2017-12-31,1890.0,1890.0,1890.0,1890.0,745321500,394350,23,1719.0,1890.0
2018-01-01,2079.0,2079.0,2079.0,2079.0,114345000,55000,6,1890.0,2079.0
2018-01-02,2286.0,2286.0,2000.0,2204.0,1878968642,852383,118,2079.0,2080.0
2018-01-03,2016.0,2424.0,1984.0,2297.0,3646608888,1587366,204,2204.0,2424.0
2018-01-06,2526.0,2526.0,2400.0,2463.0,3674203779,1492031,188,2297.0,2400.0
2018-01-07,2482.0,2486.0,2217.0,2229.0,1507014574,676144,142,2463.0,2217.0
2018-01-08,2339.0,2339.0,2040.0,2121.0,742316746,350023,96,2229.0,2070.0
2018-01-09,2170.0,2315.0,2000.0,2176.0,865186642,397547,125,2121.0,2282.0
2018-01-10,2299.0,2378.0,2073.0,2218.0,467690631,210818,73,2176.0,2194.0
2018-01-13,2266.0,2439.0,2200.0,2395.0,1255461286,524145,126,2218.0,2300.0
2018-01-14,2439.0,2439.0,2201.0,2291.0,1780026271,777099,108,2395.0,2271.0
2018-01-15,2329.0,2520.0,2329.0,2503.0,1401805790,559984,105,2291.0,2520.0
2018-01-16,2679.0,2679.0,2300.0,2438.0,1025475573,420550,83,2503.0,2490.0
2018-01-17,2300.0,2365.0,2200.0,2250.0,529096694,235182,74,2438.0,2261.0
2018-01-20,2225.0,2439.0,2181.0,2265.0,1083461909,478326,91,2250.0,2201.0
2018-01-21,2052.0,2196.0,2039.0,2074.0,2516517367,1213348,198,2265.0,2110.0
2018-01-22,2150.0,2250.0,2092.0,2156.0,2008591251,931595,172,2074.0,2124.0
2018-01-23,2099.0,2120.0,2000.0,2076.0,1311632807,631729,97,2156.0,2000.0
2018-01-24,2005.0,2148.0,2000.0,2045.0,646413038,316113,83,2076.0,2070.0
2018-01-27,2081.0,2159.0,2020.0,2101.0,425035974,202273,56,2045.0,2068.0
2018-01-28,2056.0,2122.0,2020.0,2080.0,256365127,123229,78,2101.0,2100.0
2018-01-29,2031.0,2188.0,2031.0,2126.0,729445368,343111,83,2080.0,2151.0
2018-01-30,2151.0,2189.0,2100.0,2155.0,520927189,241684,82,2126.0,2124.0
2018-01-31,1950.0,2177.0,1950.0,2071.0,503993454,243358,63,2155.0,2050.0
2018-02-03,2050.0,2278.0,2025.0,2245.0,3412336450,1520184,233,2071.0,2278.0
2018-02-04,2288.0,2469.0,2288.0,2464.0,845195229,342964,49,2245.0,2469.0
2018-02-05,2710.0,2710.0,2511.0,2706.0,3335964647,1232804,144,2464.0,2710.0
2018-02-06,2976.0,2976.0,2812.0,2971.0,7991718872,2689572,331,2706.0,2970.0
2018-02-07,3077.0,3249.0,2674.0,3040.0,9863437883,3245035,632,2971.0,2998.0
2018-02-10,3040.0,3200.0,2740.0,2968.0,1937480251,652762,177,3040.0,2800.0
2018-02-12,2690.0,2878.0,2672.0,2698.0,3946591847,1462775,290,2968.0,2700.0
2018-02-13,2810.0,2849.0,2650.0,2759.0,2915393782,1056634,308,2698.0,2663.0
2018-02-14,2530.0,2730.0,2490.0,2560.0,1317229220,514617,207,2759.0,2557.0
2018-02-17,2600.0,2769.0,2565.0,2682.0,2769001252,1032510,250,2560.0,2565.0
2018-02-18,2600.0,2705.0,2511.0,2530.0,774631312,306125,112,2682.0,2520.0
2018-02-19,2502.0,2587.0,2286.0,2410.0,1921251194,797235,227,2530.0,2315.0
2018-02-21,2282.0,2480.0,2281.0,2325.0,3177337936,1366325,411,2410.0,2290.0
2018-02-24,2310.0,2310.0,2180.0,2215.0,1526493146,689153,167,2325.0,2193.0
2018-02-25,2150.0,2399.0,2150.0,2314.0,2342580658,1012173,255,2215.0,2300.0
2018-02-26,2316.0,2384.0,2250.0,2312.0,809820250,350290,136,2314.0,2254.0
2018-02-27,2338.0,2339.0,2110.0,2157.0,837341569,388177,132,2312.0,2120.0
2018-03-13,2350.0,2350.0,2161.0,2253.0,903386074,400965,98,2157.0,2259.0
2018-03-14,2201.0,2476.0,2201.0,2362.0,2299945700,973867,236,2253.0,2297.0
2018-03-17,2322.0,2458.0,2200.0,2289.0,274676248,119979,83,2362.0,2200.0
2018-03-18,2205.0,2340.0,2150.0,2232.0,643553257,288293,72,2289.0,2280.0
2018-03-19,2300.0,2340.0,2231.0,2274.0,68887058,30291,25,2232.0,2274.0
2018-03-25,2250.0,2327.0,2245.0,2255.0,109137822,48400,17,2274.0,2250.0
2018-03-26,2236.0,2288.0,2151.0,2206.0,377184027,171000,48,2255.0,2288.0
2018-03-27,2160.0,2265.0,2152.0,2216.0,363379155,163984,43,2206.0,2240.0
2018-03-28,2183.0,2259.0,2183.0,2231.0,216058405,96855,37,2216.0,2255.0
2018-04-03,2255.0,2454.0,2200.0,2401.0,1288873788,536741,143,2231.0,2454.0
2018-04-04,2580.0,2641.0,2390.0,2500.0,33931209140,13572573,1620,2401.0,2460.0
2018-04-07,2530.0,2537.0,2303.0,2410.0,7692465751,3191910,504,2500.0,2350.0
2018-04-08,2370.0,2389.0,2216.0,2254.0,3412680474,1514069,280,2410.0,2240.0
2018-04-09,2170.0,2300.0,2131.0,2172.0,2182583949,1004780,212,2254.0,2131.0
2018-04-10,2183.0,2333.0,2120.0,2181.0,3194694183,1465091,293,2172.0,2170.0
2018-04-11,2200.0,2200.0,1963.0,2001.0,11053708420,5524367,783,2181.0,1963.0
2018-04-15,1880.0,2136.0,1870.0,2012.0,3591458313,1784905,352,2001.0,1934.0
2018-04-16,1935.0,2200.0,1935.0,2138.0,4389796607,2053294,534,2012.0,2141.0
2018-04-17,2191.0,2247.0,2061.0,2147.0,2648741027,1233943,290,2138.0,2095.0
2018-04-18,2041.0,2110.0,2000.0,2048.0,1747655946,853187,175,2147.0,2040.0
2018-04-21,2060.0,2149.0,2059.0,2094.0,1489934724,711440,156,2048.0,2100.0
2018-04-22,2033.0,2115.0,2021.0,2050.0,1475347064,719568,157,2094.0,2022.0
2018-04-23,2021.0,2084.0,2001.0,2013.0,943908305,468993,97,2050.0,2036.0
2018-04-24,2050.0,2139.0,2050.0,2097.0,1696291605,808739,172,2013.0,2085.0
2018-04-25,2085.0,2120.0,2021.0,2048.0,636165274,310597,80,2097.0,2037.0
2018-04-28,2040.0,2080.0,1977.0,2020.0,1024599124,507191,125,2048.0,2021.0
2018-04-29,2070.0,2070.0,1940.0,1989.0,1158412136,582348,102,2020.0,1960.0
2018-04-30,1951.0,2030.0,1920.0,1940.0,633623157,326527,61,1989.0,1932.0
2018-05-01,1941.0,2000.0,1933.0,1971.0,140342551,71215,28,1940.0,1954.0
2018-05-05,1980.0,1990.0,1852.0,1902.0,966842157,508460,100,1971.0,1852.0
2018-05-06,1900.0,1900.0,1712.0,1745.0,2234296479,1280162,214,1902.0,1770.0
2018-05-07,1716.0,1889.0,1701.0,1825.0,1149190658,629830,135,1745.0,1880.0
2018-05-08,1897.0,1942.0,1840.0,1895.0,728534203,384500,92,1825.0,1890.0
2018-05-09,1842.0,1842.0,1775.0,1813.0,401351163,221389,48,1895.0,1800.0
2018-05-12,1897.0,1897.0,1850.0,1873.0,528354857,282095,37,1813.0,1880.0
2018-05-13,1898.0,1980.0,1898.0,1924.0,1523259377,791677,153,1873.0,1929.0
2018-05-14,2000.0,2000.0,1902.0,1951.0,1007220720,516208,73,1924.0,1910.0
2018-05-15,1962.0,2011.0,1920.0,1971.0,842234582,427320,88,1951.0,1960.0
2018-05-16,1931.0,1988.0,1905.0,1936.0,922903886,476672,104,1971.0,1905.0
2018-05-19,1987.0,1987.0,1876.0,1900.0,429961952,226304,70,1936.0,1890.0
2018-05-20,1872.0,1919.0,1852.0,1875.0,534904091,285328,62,1900.0,1852.0
2018-05-21,1811.0,1910.0,1810.0,1843.0,359693405,195189,54,1875.0,1822.0
2018-05-22,1799.0,1827.0,1751.0,1793.0,920116843,513076,98,1843.0,1798.0
2018-05-23,1838.0,1889.0,1815.0,1854.0,557002372,300477,83,1793.0,1850.0
2018-05-26,1928.0,1945.0,1852.0,1895.0,1207722860,637376,124,1854.0,1910.0
2018-05-27,1939.0,2079.0,1939.0,2012.0,3476895502,1727849,284,1895.0,1984.0
2018-05-28,2069.0,2213.0,1976.0,2159.0,7318653594,3389483,574,2012.0,2213.0
2018-05-29,2241.0,2347.0,2190.0,2256.0,5946051963,2635437,598,2159.0,2200.0
2018-05-30,2200.0,2287.0,2121.0,2208.0,2300292057,1041825,319,2256.0,2200.0
2018-06-02,2249.0,2390.0,2167.0,2318.0,3460191624,1492811,404,2208.0,2320.0
2018-06-03,2300.0,2444.0,2300.0,2385.0,3162371004,1325879,331,2318.0,2341.0
2018-06-09,2440.0,2441.0,2198.0,2274.0,2804202135,1233116,380,2385.0,2250.0
2018-06-10,2202.0,2270.0,2170.0,2239.0,1684243552,752384,215,2274.0,2230.0
2018-06-11,2210.0,2350.0,2209.0,2291.0,2138924883,933686,197,2239.0,2329.0
2018-06-12,2300.0,2379.0,2231.0,2299.0,2527223938,1099339,287,2291.0,2290.0
2018-06-13,2230.0,2355.0,2220.0,2304.0,1599526676,694150,180,2299.0,2300.0
2018-06-17,2360.0,2394.0,2270.0,2329.0,2261118187,970749,251,2304.0,2270.0
2018-06-18,2330.0,2330.0,2180.0,2228.0,2197978464,986430,300,2329.0,2190.0
2018-06-19,2151.0,2249.0,2090.0,2132.0,2077803607,974681,215,2228.0,2093.0
2018-06-20,2053.0,2164.0,2053.0,2101.0,1068985418,508868,223,2132.0,2110.0
2018-06-23,2100.0,2168.0,2064.0,2087.0,1154150726,552916,139,2101.0,2064.0
2018-06-24,2071.0,2118.0,2014.0,2048.0,2054459670,1003197,229,2087.0,2025.0
2018-06-25,2017.0,2142.0,2017.0,2074.0,2038756004,983243,217,2048.0,2031.0
2018-06-26,2015.0,2068.0,1990.0,2009.0,834390082,415322,100,2074.0,1999.0
2018-06-27,1999.0,2064.0,1911.0,1952.0,1564568305,801349,167,2009.0,1931.0
2018-06-30,1901.0,2075.0,1901.0,2043.0,763109008,373550,112,1952.0,2030.0
2018-07-01,2012.0,2201.0,2012.0,2130.0,2601200790,1221171,274,2043.0,2140.0
2018-07-02,2087.0,2175.0,2032.0,2093.0,998778592,477229,108,2130.0,2045.0
2018-07-03,2042.0,2118.0,1985.0,2017.0,601753531,298314,97,2093.0,2044.0
2018-07-04,2050.0,2050.0,1972.0,2004.0,991970464,494993,140,2017.0,2000.0
2018-07-07,2054.0,2075.0,1996.0,2033.0,513806270,252742,84,2004.0,2020.0
2018-07-08,2001.0,2042.0,1960.0,1989.0,741389849,372834,82,2033.0,1960.0
2018-07-10,1935.0,1987.0,1921.0,1944.0,302717890,155751,63,1989.0,1941.0
2018-07-11,1911.0,1937.0,1870.0,1901.0,1300779983,684418,146,1944.0,1870.0
2018-07-14,1977.0,2020.0,1852.0,1972.0,404623759,205154,64,1901.0,1960.0
2018-07-15,2010.0,2041.0,1941.0,2006.0,220189334,109752,56,1972.0,2004.0
2018-07-16,2025.0,2025.0,1906.0,1934.0,211928693,109590,39,2006.0,1958.0
2018-07-17,1870.0,1998.0,1870.0,1942.0,510601406,262983,75,1934.0,1929.0
2018-07-18,1967.0,1967.0,1890.0,1913.0,644615978,336980,51,1942.0,1910.0
2018-07-21,1958.0,1999.0,1932.0,1970.0,595212436,302083,77,1913.0,1932.0
2018-07-22,1998.0,2088.0,1984.0,2025.0,1329672211,656605,128,1970.0,1991.0
2018-07-23,1960.0,2030.0,1950.0,1975.0,284044976,143809,39,2025.0,1950.0
2018-07-24,2030.0,2030.0,1910.0,1936.0,702764776,363064,65,1975.0,1911.0
2018-07-25,1892.0,1969.0,1891.0,1918.0,1130718959,589673,114,1936.0,1900.0
2018-07-28,1930.0,1961.0,1880.0,1935.0,597919990,309047,63,1918.0,1925.0
2018-07-29,1952.0,1952.0,1900.0,1913.0,312373503,163282,32,1935.0,1940.0
2018-07-30,1900.0,1950.0,1890.0,1903.0,754774692,396656,77,1913.0,1900.0
2018-07-31,1919.0,2046.0,1750.0,1941.0,942111944,485317,109,1903.0,1951.0
2018-08-01,1970.0,1970.0,1893.0,1926.0,668557732,347046,63,1941.0,1940.0
2018-08-04,1940.0,2042.0,1901.0,1991.0,1053404872,529065,78,1926.0,1970.0
2018-08-05,2030.0,2030.0,1910.0,1971.0,1092207086,554097,85,1991.0,2000.0
2018-08-06,1970.0,1970.0,1900.0,1914.0,412247199,215361,41,1971.0,1900.0
2018-08-07,2015.0,2015.0,1900.0,1926.0,1386639836,719792,114,1914.0,1949.0
2018-08-08,1965.0,1965.0,1911.0,1925.0,507235328,263516,50,1926.0,1945.0
2018-08-11,1950.0,2013.0,1940.0,1983.0,646028345,325720,89,1925.0,1999.0
2018-08-12,2001.0,2020.0,1931.0,1972.0,711313368,360778,62,1983.0,1993.0
2018-08-13,1960.0,1960.0,1900.0,1912.0,1862172079,973918,176,1972.0,1911.0
2018-08-14,1920.0,1970.0,1900.0,1912.0,560913967,293303,64,1912.0,1930.0
2018-08-15,1904.0,1957.0,1900.0,1923.0,124412218,64693,22,1912.0,1950.0
2018-08-18,1945.0,2100.0,1920.0,2035.0,3343304293,1643191,295,1923.0,2079.0
2018-08-19,2080.0,2108.0,2016.0,2039.0,1615077695,791901,159,2035.0,2020.0
2018-08-20,2035.0,2240.0,1997.0,2160.0,5444423734,2520963,484,2039.0,2201.0
2018-08-21,2290.0,2376.0,2111.0,2362.0,11361498867,4809698,358,2160.0,2376.0
2018-08-25,2549.0,2598.0,2410.0,2563.0,14395000816,5615662,695,2362.0,2598.0
2018-08-26,2634.0,2744.0,2403.0,2580.0,5240789942,2031399,313,2563.0,2532.0
