date,open,high,low,adjClose,value,volume,count,yesterday,close
2022-05-11,22500.0,27500.0,22500.0,24247.0,969864955116,40000000,57,1000.0,27500.0
2022-05-14,25450.0,25450.0,25450.0,25450.0,15794270000,620600,1080,24247.0,25450.0
2022-05-15,26700.0,26700.0,26700.0,26650.0,16084080000,602400,1213,25450.0,26700.0
2022-05-16,27950.0,27950.0,27950.0,27950.0,28008862700,1002106,1748,26650.0,27950.0
2022-05-17,29300.0,29300.0,29300.0,29300.0,37173378800,1268716,2638,27950.0,29300.0
2022-05-18,30750.0,30750.0,30750.0,30750.0,21064949250,685039,1482,29300.0,30750.0
2022-05-21,32250.0,32250.0,32250.0,32250.0,51759121500,1604934,2931,30750.0,32250.0
2022-05-22,33850.0,33850.0,33850.0,33850.0,139452183500,4119710,8944,32250.0,33850.0
2022-05-23,35500.0,35500.0,35500.0,35500.0,1361141213000,38342006,82162,33850.0,35500.0
2022-05-24,36000.0,37250.0,35750.0,36400.0,364409566950,10016448,3586,35500.0,37250.0
2022-05-30,37000.0,38850.0,35150.0,35450.0,375076969150,10573241,3244,36400.0,35150.0
2022-05-31,33950.0,35650.0,33700.0,34300.0,216568394500,6314908,2877,35450.0,33700.0
2022-06-01,34000.0,34300.0,32600.0,32700.0,141784687800,4334929,1714,34300.0,32600.0
2022-06-06,31900.0,32300.0,31100.0,31350.0,38576501300,1230581,475,32700.0,31100.0
2022-06-07,29950.0,30700.0,29800.0,29850.0,193436593550,6474991,2326,31350.0,30500.0
2022-06-08,30700.0,31300.0,30400.0,31250.0,199089743000,6369019,2205,29850.0,31300.0
2022-06-11,31700.0,31700.0,29700.0,29850.0,196818909000,6598669,2160,31250.0,29700.0
2022-06-12,29350.0,30850.0,28550.0,29850.0,60801927250,2036768,927,29850.0,30350.0
2022-06-13,30800.0,31050.0,30000.0,30650.0,41929493250,1368685,646,29850.0,30250.0
2022-06-14,31000.0,31000.0,29650.0,30250.0,25218305350,833485,405,30650.0,29650.0
2022-06-15,30100.0,30850.0,28850.0,30100.0,27791019750,923440,447,30250.0,29400.0
2022-06-18,29500.0,29900.0,28600.0,28650.0,145845302800,5092233,1095,30100.0,28600.0
2022-06-19,28600.0,28650.0,27250.0,27750.0,40566638900,1462498,623,28650.0,28000.0
2022-06-20,28300.0,29100.0,27800.0,29000.0,39469171150,1362174,556,27750.0,28750.0
2022-06-21,28950.0,29000.0,27550.0,28000.0,59638025700,2129164,448,29000.0,28000.0
2022-06-22,28050.0,28600.0,27500.0,28000.0,20059667250,716324,266,28000.0,28000.0
2022-06-25,26750.0,28800.0,26750.0,27600.0,26494020350,959571,309,28000.0,26900.0
2022-06-26,27600.0,27950.0,26250.0,26550.0,43516616750,1639205,360,27600.0,26500.0
2022-06-27,26800.0,27850.0,26100.0,27050.0,26040244450,963013,464,26550.0,27300.0
2022-06-28,28200.0,28200.0,27200.0,27550.0,6963504650,252706,169,27050.0,27200.0
2022-06-29,26650.0,28050.0,26200.0,26900.0,34035161150,1266328,464,27550.0,26600.0
2022-07-05,26050.0,26050.0,25100.0,25900.0,26238352100,1013256,386,24850.0,25700.0
2022-07-06,25850.0,26900.0,24650.0,25400.0,37826601600,1490042,397,25900.0,25150.0
2022-07-09,25400.0,25600.0,24150.0,24500.0,18289069500,746122,245,25400.0,24200.0
2022-07-11,25000.0,25000.0,23300.0,24150.0,17954291900,743921,197,24500.0,24300.0
2022-07-12,25150.0,25150.0,24050.0,24300.0,12210562350,501982,200,24150.0,24150.0
2022-07-13,24950.0,24950.0,23800.0,24050.0,4800706500,199558,179,24300.0,24200.0
2022-07-16,24400.0,24900.0,23600.0,24050.0,9008024300,374557,159,24050.0,24000.0
2022-07-17,24050.0,25250.0,23500.0,24950.0,42685810350,1709697,305,24050.0,25250.0
2022-07-19,25900.0,26150.0,25500.0,26050.0,41896000250,1608842,550,24950.0,25950.0
2022-07-20,26500.0,26500.0,25050.0,25450.0,12612254250,496019,315,26050.0,25300.0
2022-07-23,25900.0,25900.0,24650.0,24800.0,23544098500,948613,253,25450.0,24850.0
2022-07-24,24600.0,25000.0,23600.0,23750.0,35542863050,1496418,212,24800.0,23600.0
2022-07-25,23950.0,23950.0,22600.0,22750.0,18238118500,801708,260,23750.0,22600.0
2022-07-26,23000.0,23850.0,22200.0,23700.0,14088759600,594962,285,22750.0,23800.0
2022-07-27,23800.0,24500.0,23550.0,23800.0,7034210750,295279,162,23700.0,24000.0
2022-07-30,23750.0,24600.0,23700.0,23850.0,15836938300,663572,133,23800.0,23800.0
2022-07-31,23900.0,23950.0,22700.0,23350.0,10838733500,464610,161,23850.0,23000.0
2022-08-01,23000.0,24100.0,22750.0,23300.0,4421651600,189647,64,23350.0,23600.0
2022-08-02,23950.0,24300.0,23400.0,23700.0,1604753600,67661,48,23300.0,23500.0
2022-08-03,23700.0,24100.0,23500.0,23750.0,8338695200,350888,136,23700.0,23800.0
2022-08-06,24100.0,24800.0,24100.0,24650.0,4648579050,188618,124,23750.0,24650.0
2022-08-09,25400.0,25400.0,24500.0,24700.0,8904851500,360861,85,24650.0,24800.0
2022-08-10,24700.0,24900.0,24700.0,24700.0,14163290900,573110,78,24700.0,24700.0
2022-08-13,25200.0,25300.0,24350.0,24750.0,6420436400,259584,144,24700.0,24700.0
2022-08-14,25450.0,25450.0,24550.0,24900.0,7105031700,285274,99,24750.0,24550.0
2022-08-15,25300.0,25300.0,23700.0,24000.0,24059082550,1002551,229,24900.0,23950.0
2022-08-16,23900.0,24150.0,22800.0,23300.0,20191926950,865862,178,24000.0,23400.0
2022-08-17,23250.0,23450.0,22400.0,23050.0,10027431000,434582,186,23300.0,23250.0
2022-08-20,22800.0,24050.0,22800.0,23700.0,8882808950,375080,233,23050.0,23550.0
2022-08-21,23300.0,23500.0,23200.0,23300.0,3475330200,149024,68,23700.0,23200.0
2022-08-22,23250.0,23700.0,23050.0,23250.0,6614714600,284321,98,23300.0,23200.0
2022-08-23,23450.0,23700.0,23100.0,23400.0,10042045500,429487,177,23250.0,23200.0
2022-08-24,23450.0,23650.0,23200.0,23350.0,21359035400,914708,189,23400.0,23400.0
2022-08-27,23450.0,23700.0,23250.0,23500.0,12849959300,546498,272,23350.0,23400.0
2022-08-28,23850.0,23900.0,23200.0,23500.0,13574788500,577516,322,23500.0,23400.0
2022-08-29,23700.0,23850.0,23300.0,23600.0,9569139550,405175,241,23500.0,23550.0
2022-08-30,23500.0,23800.0,23150.0,23550.0,12059960200,512307,246,23600.0,23700.0
2022-08-31,23300.0,23650.0,22600.0,23150.0,14044165100,606144,200,23550.0,23400.0
2022-09-03,23750.0,23750.0,22850.0,23150.0,11494678800,496473,194,23150.0,23150.0
