date,open,high,low,adjClose,value,volume,count,yesterday,close
2022-05-10,6610.0,6610.0,5740.0,5943.0,2638669790000,444000000,52,1000.0,6010.0
2022-05-11,6290.0,6290.0,6290.0,6290.0,63277400000,10060000,1726,5943.0,6290.0
2022-05-14,6660.0,6660.0,6660.0,6660.0,69093963540,10374469,1599,6290.0,6660.0
2022-05-15,7050.0,7050.0,7050.0,7050.0,138698365350,19673527,3530,6660.0,7050.0
2022-05-16,7470.0,7470.0,7470.0,7470.0,47373485040,6341832,921,7050.0,7470.0
2022-05-17,7910.0,7910.0,7810.0,7910.0,889656946330,112478389,23110,7470.0,7910.0
2022-05-18,7920.0,8380.0,7910.0,8200.0,647176762960,78909057,17460,7910.0,8380.0
2022-05-21,8410.0,8690.0,8280.0,8590.0,131543042040,15311394,3496,8200.0,8690.0
2022-05-22,9090.0,9100.0,8810.0,9100.0,455646647660,50089588,9978,8590.0,9100.0
2022-05-23,9500.0,9500.0,8560.0,8850.0,425389985160,48069860,12917,9100.0,8560.0
2022-05-24,8700.0,9130.0,8420.0,8870.0,238210961640,26846916,4230,8850.0,8840.0
2022-05-25,8550.0,8990.0,8340.0,8550.0,187075862590,21887486,3625,8870.0,8410.0
2022-05-28,8400.0,8500.0,8040.0,8140.0,203553849480,25010143,2714,8550.0,8040.0
2022-05-29,8010.0,8620.0,7830.0,8560.0,432715506500,50535529,5315,8140.0,8610.0
2022-05-30,8690.0,8690.0,8110.0,8290.0,183500167200,22142255,2667,8560.0,8200.0
2022-05-31,8280.0,8280.0,7850.0,7990.0,97132142130,12150378,1484,8290.0,8000.0
2022-06-01,7990.0,8230.0,7960.0,8070.0,61843021010,7663564,1376,7990.0,8160.0
2022-06-06,8240.0,8240.0,7590.0,7630.0,95840327150,12564104,1335,8070.0,7590.0
2022-06-07,7520.0,7800.0,7320.0,7520.0,29277505100,3894421,922,7630.0,7390.0
2022-06-08,7550.0,7790.0,7260.0,7530.0,51194357100,6795571,794,7520.0,7430.0
2022-06-11,7340.0,7470.0,7080.0,7190.0,61312689780,8523555,801,7530.0,7200.0
2022-06-12,7120.0,7620.0,7060.0,7580.0,112345170900,14812585,984,7190.0,7620.0
2022-06-13,7660.0,7750.0,7310.0,7480.0,47086189360,6297977,973,7580.0,7390.0
2022-06-14,7400.0,7490.0,7200.0,7320.0,33899253660,4630386,565,7480.0,7300.0
2022-06-15,7150.0,7390.0,7060.0,7160.0,25677934400,3587459,484,7320.0,7140.0
2022-06-18,7260.0,7260.0,6790.0,6830.0,101129716520,14808023,897,7160.0,6850.0
2022-06-19,7050.0,7190.0,6980.0,7020.0,66667002660,9494230,733,6830.0,7020.0
2022-06-20,7150.0,7400.0,7120.0,7220.0,74994116470,10386361,830,7020.0,7290.0
2022-06-26,6730.0,6940.0,6720.0,6730.0,49070374010,7287305,446,7140.0,6750.0
2022-06-27,6700.0,7130.0,6630.0,7110.0,78907945450,11091279,847,6730.0,7130.0
2022-06-28,7250.0,7300.0,6810.0,7040.0,30312599570,4306557,690,7110.0,6950.0
2022-06-29,7110.0,7110.0,6800.0,6890.0,22480996680,3261520,512,7040.0,6910.0
2022-07-02,6810.0,6950.0,6720.0,6830.0,30631465300,4487542,418,6890.0,6850.0
2022-07-03,7070.0,7070.0,6650.0,6780.0,31378000270,4629724,598,6830.0,6950.0
2022-07-04,6980.0,6980.0,6730.0,6820.0,26725782770,3918271,414,6780.0,6860.0
2022-07-05,6710.0,6850.0,6600.0,6690.0,21788422650,3255633,438,6820.0,6770.0
2022-07-06,6700.0,6750.0,6500.0,6560.0,21054713620,3209462,319,6690.0,6560.0
2022-07-09,6660.0,6740.0,6410.0,6550.0,6881390330,1050090,208,6560.0,6680.0
2022-07-11,6710.0,6930.0,6450.0,6730.0,14652586050,2177084,367,6550.0,6590.0
2022-07-12,6470.0,6850.0,6470.0,6590.0,13150162440,1996954,247,6730.0,6700.0
2022-07-13,6760.0,6790.0,6600.0,6690.0,10852667080,1622253,169,6590.0,6700.0
2022-07-16,6490.0,6900.0,6490.0,6640.0,43231302560,6515470,341,6690.0,6690.0
2022-07-17,6800.0,6800.0,6510.0,6640.0,19677963510,2965093,211,6640.0,6660.0
2022-07-19,6600.0,6700.0,6520.0,6610.0,7257888430,1097445,169,6640.0,6700.0
2022-07-20,6700.0,6700.0,6530.0,6590.0,5050993660,766639,168,6610.0,6590.0
2022-07-23,6750.0,6960.0,6630.0,6810.0,15463174460,2270976,347,6590.0,6790.0
2022-07-24,6880.0,6880.0,6550.0,6660.0,21332018180,3205194,182,6810.0,6610.0
2022-07-25,6540.0,6650.0,6360.0,6430.0,10766709880,1674326,239,6660.0,6400.0
2022-07-26,6570.0,6770.0,6390.0,6630.0,28511831690,4301919,225,6430.0,6690.0
2022-07-27,6690.0,7010.0,6530.0,6900.0,47975226700,6956027,522,6630.0,6900.0
2022-07-30,6900.0,7080.0,6730.0,6870.0,13050139590,1900109,228,6900.0,6740.0
2022-07-31,6900.0,6920.0,6670.0,6740.0,31746177110,4712879,251,6870.0,6810.0
2022-08-01,6750.0,6900.0,6680.0,6730.0,31746678350,4714463,249,6740.0,6770.0
2022-08-02,6840.0,7130.0,6600.0,7060.0,59150327250,8376971,430,6730.0,7130.0
2022-08-03,7150.0,7480.0,7150.0,7430.0,45907450310,6178588,598,7060.0,7470.0
2022-08-06,7480.0,7640.0,7200.0,7350.0,17160632060,2334862,445,7430.0,7290.0
2022-08-09,7360.0,7360.0,7040.0,7150.0,9774693150,1367273,233,7350.0,7210.0
2022-08-10,6940.0,7320.0,6940.0,7150.0,10109545840,1413466,187,7150.0,7100.0
2022-08-13,7050.0,7550.0,7020.0,7350.0,26672109390,3630065,373,7150.0,7320.0
2022-08-14,7090.0,7430.0,7000.0,7190.0,141120217470,19615510,1196,7350.0,7170.0
2022-08-15,7130.0,7470.0,7130.0,7360.0,69080661660,9386166,612,7190.0,7380.0
2022-08-16,7480.0,7490.0,7210.0,7300.0,30343150360,4157371,353,7360.0,7290.0
2022-08-17,7200.0,7330.0,7050.0,7160.0,26068485730,3641585,324,7300.0,7170.0
2022-08-20,7160.0,7400.0,7130.0,7300.0,44005104140,6029632,294,7160.0,7220.0
2022-08-21,7400.0,7400.0,7160.0,7220.0,16451007100,2278954,215,7300.0,7250.0
2022-08-22,7150.0,7480.0,7150.0,7320.0,44230265280,6046308,257,7220.0,7340.0
2022-08-23,7390.0,7500.0,7320.0,7440.0,39289001930,5278609,311,7320.0,7390.0
2022-08-24,7400.0,7860.0,7400.0,7590.0,69937735730,9214627,634,7440.0,7850.0
2022-08-27,7800.0,7850.0,7520.0,7650.0,22362143990,2923855,386,7590.0,7520.0
2022-08-28,7650.0,7800.0,7530.0,7640.0,38378807830,5023620,334,7650.0,7800.0
