date,open,high,low,adjClose,value,volume,count,yesterday,close
2019-06-17,22500.0,22500.0,22500.0,22500.0,4500000000000,200000000,468443,1000.0,22500.0
2019-06-18,23625.0,23625.0,23625.0,23426.0,8644482000,365904,1290,22500.0,23625.0
2019-06-19,24597.0,24597.0,24597.0,24597.0,198442028601,8067733,20277,23426.0,24597.0
2019-06-24,30000.0,31000.0,28500.0,29579.0,1049361670293,35476160,75834,21347.0,29399.0
2019-06-25,28320.0,29250.0,28101.0,28345.0,597089030155,21065215,50121,29579.0,28108.0
2019-06-26,28000.0,29500.0,27999.0,28529.0,833838064535,29227967,75556,28345.0,28661.0
2019-06-30,28895.0,28895.0,27800.0,28174.0,419070599453,14874614,37954,28529.0,27875.0
2019-07-01,27501.0,27950.0,27000.0,27256.0,327507020325,12016146,28584,28174.0,27320.0
2019-07-02,27306.0,28195.0,27300.0,27577.0,239092636469,8669950,20925,27256.0,27880.0
2019-07-03,27994.0,28412.0,27803.0,27976.0,180904235537,6466293,20231,27577.0,27890.0
2019-07-06,27900.0,27900.0,27001.0,27143.0,183003399781,6742298,15957,27976.0,27047.0
2019-07-07,27001.0,27220.0,26802.0,27022.0,152199395777,5632324,13005,27143.0,27161.0
2019-07-08,27100.0,27100.0,27000.0,27037.0,166071179332,6142395,12774,27022.0,27010.0
2019-07-09,26700.0,26730.0,26200.0,26407.0,246777891184,9345260,21991,27037.0,26400.0
2019-07-10,26105.0,26330.0,26002.0,26096.0,253283036716,9705642,23752,26407.0,26213.0
2019-07-13,26000.0,26200.0,25551.0,25739.0,320653781923,12457854,35145,26096.0,26003.0
2019-07-14,26400.0,27025.0,26332.0,26900.0,92941138330,3455051,6829,25739.0,27025.0
2019-07-15,27932.0,27991.0,26640.0,27302.0,203473891786,7452808,12525,26900.0,26800.0
2019-07-16,26700.0,26700.0,25937.0,26239.0,213198166264,8125349,11267,27302.0,26502.0
2019-07-17,26072.0,27222.0,26072.0,26849.0,111476517493,4152000,9142,26239.0,26996.0
2019-07-20,27000.0,27101.0,26505.0,26665.0,131443844550,4929441,7573,26849.0,26700.0
2019-07-21,26550.0,27898.0,26550.0,27537.0,188894472956,6859635,10719,26665.0,27731.0
2019-07-22,28913.0,28913.0,28501.0,28866.0,214263781657,7422780,6664,27537.0,28913.0
2019-07-23,29006.0,29480.0,28061.0,28850.0,309936630387,10743156,13327,28866.0,28950.0
2019-07-24,29006.0,29006.0,28461.0,28775.0,152714811152,5307134,6325,28850.0,28805.0
2019-07-27,28759.0,28759.0,28047.0,28258.0,135074792482,4780075,5870,28775.0,28134.0
2019-07-28,28010.0,28100.0,27554.0,27698.0,96257434802,3475246,5143,28258.0,27671.0
2019-07-29,27666.0,28100.0,27485.0,27726.0,94189216354,3397109,4490,27698.0,27700.0
