date,open,high,low,adjClose,value,volume,count,yesterday,close
2021-09-22,120000.0,120000.0,120000.0,120000.0,52800000000,440000,2936,5000.0,120000.0
2021-09-25,123600.0,123600.0,123600.0,123600.0,105158880000,850800,6015,120000.0,123600.0
2021-09-26,127308.0,127308.0,127308.0,127308.0,15635713944,122818,877,123600.0,127308.0
2021-09-28,131127.0,131127.0,124100.0,130907.0,132405737426,1011449,12704,127308.0,131127.0
2021-09-29,135000.0,137452.0,128900.0,135968.0,200331845214,1473378,15758,130907.0,137452.0
2021-10-02,140047.0,140047.0,138100.0,140042.0,13178628385,94105,850,135968.0,140047.0
2021-10-03,144243.0,144243.0,135841.0,143283.0,120439145851,840568,8436,140042.0,144243.0
2021-10-04,147581.0,147581.0,147581.0,147581.0,11034926532,74772,999,143283.0,147581.0
2021-10-06,140202.0,154960.0,140202.0,148949.0,276020467586,1853123,20342,147581.0,154960.0
2021-10-23,153417.0,153417.0,153417.0,153417.0,10510905504,68512,800,148949.0,153417.0
2021-10-25,158019.0,158019.0,158019.0,157021.0,8308955058,52582,741,153417.0,158019.0
2021-10-26,161731.0,161731.0,161731.0,158854.0,4226192761,26131,369,157021.0,161731.0
2021-10-27,163619.0,163619.0,163619.0,161294.0,5625875696,34384,434,158854.0,163619.0
2021-10-30,169358.0,169358.0,161310.0,169125.0,257621287501,1523264,20952,161294.0,169357.0
2021-10-31,169125.0,169125.0,164052.0,164349.0,13664172868,83141,1164,169125.0,164052.0
2021-11-01,159419.0,169279.0,159419.0,163817.0,212972108388,1300059,17473,164349.0,168600.0
2021-11-02,168731.0,168731.0,165261.0,168628.0,16694033809,98999,1347,163817.0,168731.0
2021-11-03,173686.0,173686.0,171469.0,173676.0,81214618987,467621,6531,168628.0,173686.0
2021-11-06,178886.0,178886.0,171000.0,177159.0,54858906520,309659,3960,173676.0,172000.0
2021-11-07,171845.0,171849.0,171845.0,171845.0,13005921585,75684,951,177159.0,171845.0
2021-11-08,166690.0,166690.0,166690.0,170872.0,1811920300,10870,153,171845.0,166690.0
2021-11-09,165746.0,169574.0,165746.0,166110.0,31911229082,192109,2684,170872.0,165746.0
2021-11-10,158300.0,170585.0,157805.0,161967.0,94897558013,585907,7736,166110.0,166001.0
2021-11-13,157210.0,163888.0,157108.0,159650.0,44388513944,278036,3706,161967.0,162500.0
2021-11-14,162400.0,164439.0,155000.0,161461.0,34766238705,215323,2869,159650.0,164439.0
2021-11-17,166304.0,166304.0,166304.0,164451.0,6339841088,38122,443,161461.0,166304.0
2021-11-20,169384.0,169384.0,169384.0,169384.0,10330222008,60987,833,164451.0,169384.0
2021-11-21,174465.0,174465.0,174465.0,174465.0,46613907630,267182,3641,169384.0,174465.0
2021-11-22,179698.0,179698.0,179698.0,177518.0,6374427154,35473,502,174465.0,179698.0
2021-11-23,186393.0,186393.0,186393.0,181269.0,4791045672,25704,291,177518.0,186393.0
2021-11-24,186707.0,186707.0,186707.0,184360.0,6453340748,34564,314,181269.0,186707.0
2021-11-27,189890.0,189890.0,189890.0,188668.0,8023801950,42255,594,184360.0,189890.0
2021-11-28,194328.0,194328.0,194328.0,194328.0,11003823000,56625,796,188668.0,194328.0
2021-11-29,204044.0,204044.0,196500.0,203909.0,169060669064,829099,11510,194328.0,204044.0
2021-11-30,210026.0,210026.0,198800.0,209154.0,93176757002,445494,6109,203909.0,209900.0
2021-12-01,203011.0,215428.0,203011.0,214076.0,54466860799,254428,3634,209154.0,215428.0
2021-12-04,220498.0,220498.0,218991.0,220494.0,138434024516,627835,8358,214076.0,220498.0
2022-01-02,1600.0,1600.0,1600.0,1600.0,34593766400,21621104,4396,1231.0,1600.0
2022-01-03,1552.0,1594.0,1552.0,1552.0,83586365057,53845178,20893,1600.0,1552.0
2022-01-04,1506.0,1506.0,1506.0,1506.0,22826431458,15156993,3834,1552.0,1506.0
2022-01-05,1461.0,1461.0,1461.0,1502.0,986928876,675516,274,1506.0,1461.0
2022-01-08,1427.0,1427.0,1427.0,1483.0,2449813666,1716758,694,1502.0,1427.0
2022-01-09,1439.0,1439.0,1439.0,1482.0,266823697,185423,77,1483.0,1439.0
2022-01-10,1438.0,1438.0,1438.0,1462.0,4459508344,3101188,1246,1482.0,1438.0
2022-01-11,1419.0,1433.0,1419.0,1419.0,41315756376,29112614,11635,1462.0,1419.0
2022-01-12,1349.0,1349.0,1349.0,1396.0,2999044189,2223161,546,1419.0,1349.0
2022-01-15,1355.0,1355.0,1355.0,1393.0,678414625,500675,179,1396.0,1355.0
2022-01-16,1352.0,1352.0,1352.0,1392.0,266841536,197368,62,1393.0,1352.0
2022-01-17,1351.0,1351.0,1351.0,1390.0,579497940,428940,128,1392.0,1351.0
2022-01-18,1321.0,1321.0,1321.0,1387.0,353220869,267389,18,1390.0,1321.0
2022-01-19,1346.0,1346.0,1346.0,1387.0,63290266,47021,6,1387.0,1346.0
2022-01-22,1346.0,1346.0,1346.0,1386.0,198077360,147160,9,1387.0,1346.0
2022-01-23,1345.0,1345.0,1345.0,1386.0,16737180,12444,3,1386.0,1345.0
2022-01-24,1317.0,1317.0,1317.0,1324.0,8483189466,6441298,159,1386.0,1317.0
2022-01-25,1285.0,1285.0,1285.0,1285.0,182335901255,141895643,3154,1324.0,1285.0
2022-01-26,1247.0,1294.0,1247.0,1251.0,204500714030,163482879,4620,1285.0,1248.0
2022-01-29,1214.0,1288.0,1214.0,1252.0,73146074870,58411215,1559,1251.0,1288.0
2022-01-30,1289.0,1289.0,1289.0,1270.0,5083163766,3943494,99,1252.0,1289.0
2022-01-31,1308.0,1308.0,1308.0,1292.0,5978314716,4570577,109,1270.0,1308.0
2022-02-01,1356.0,1356.0,1356.0,1356.0,24101198220,17773745,419,1292.0,1356.0
2022-02-02,1396.0,1396.0,1396.0,1377.0,5794649420,4150895,142,1356.0,1396.0
2022-02-05,1418.0,1418.0,1418.0,1406.0,7176359036,5060902,113,1377.0,1418.0
2022-02-06,1448.0,1448.0,1389.0,1436.0,341011429440,237443338,5949,1406.0,1448.0
2022-02-07,1507.0,1507.0,1507.0,1482.0,7102736641,4713163,133,1436.0,1507.0
2022-02-08,1526.0,1526.0,1526.0,1503.0,5413236262,3547337,90,1482.0,1526.0
2022-02-09,1548.0,1548.0,1548.0,1532.0,7163424180,4627535,131,1503.0,1548.0
2022-02-12,1577.0,1577.0,1577.0,1557.0,5631023863,3570719,76,1532.0,1577.0
2022-02-13,1634.0,1634.0,1634.0,1604.0,6478203786,3964629,125,1557.0,1634.0
2022-02-14,1652.0,1652.0,1652.0,1618.0,3048927896,1845598,59,1604.0,1652.0
2022-02-16,1666.0,1666.0,1666.0,1659.0,9354796584,5615124,96,1618.0,1666.0
2022-02-19,1708.0,1708.0,1708.0,1708.0,35785964760,20951970,616,1659.0,1708.0
2022-02-20,1793.0,1793.0,1793.0,1793.0,13495360549,7526693,162,1708.0,1793.0
2022-02-21,1846.0,1846.0,1846.0,1846.0,18749024528,10156568,257,1793.0,1846.0
2022-02-22,1901.0,1901.0,1901.0,1885.0,8203160982,4315182,119,1846.0,1901.0
2022-02-23,1941.0,1941.0,1941.0,1916.0,6530566317,3364537,91,1885.0,1941.0
2022-02-26,2011.0,2011.0,2011.0,2011.0,13790219334,6857394,164,1916.0,2011.0
2022-02-27,2071.0,2071.0,2071.0,2046.0,6296597986,3040366,74,2011.0,2071.0
